host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
3265747,2012-08-15,"Paris, Ile-de-France, France",0,1,1,1
17562563,2014-07-02,"Paris, Ile-de-France, France",0,1,1,1
22473291,2014-10-13,"Paris, Ile-de-France, France",0,1,1,0
5978775,2013-04-18,"Paris, Ile-de-France, France",0,1,1,1
11807966,2014-01-31,"Paris, Ile-de-France, France",0,1,1,1
15816937,2014-05-21,"Paris, Ile-de-France, France",0,1,1,1
57385528,2016-02-04,"Paris, Ile-de-France, France",0,1,1,0
14423479,2014-04-18,"Paris, Ile-de-France, France",0,1,1,0
29389203,2015-03-15,"Paris, Ile-de-France, France",0,1,1,1
106418240,2016-12-06,"Paris, Ile-de-France, France",0,1,1,0
7317445,2013-07-06,"Paris, Ile-de-France, France",0,1,1,1
34676906,2015-05-31,"Paris, Ile-de-France, France",0,1,1,1
64548878,2016-03-26,"Paris, Ile-de-France, France",0,1,1,1
132752236,2017-05-31,"Paris, Ile-de-France, France",0,1,1,1
5013745,2013-02-08,"Paris, Ile-de-France, France",0,1,1,1
5373088,2013-03-08,"Paris, Ile-de-France, France",0,1,1,1
15178652,2014-05-06,"Paris, Ile-de-France, France",0,1,1,1
37069485,2015-06-29,"Paris, Ile-de-France, France",0,1,1,1
24837318,2014-12-14,"Paris, Ile-de-France, France",0,1,1,1
65022504,2016-03-30,"Paris, Ile-de-France, France",0,1,1,1
83117134,2016-07-11,"Paris, Ile-de-France, France",0,1,1,0
30682958,2015-04-06,"Paris, Ile-de-France, France",0,1,1,1
9024600,2013-09-24,"Paris, Ile-de-France, France",0,1,1,1
28119957,2015-02-21,"Paris, Ile-de-France, France",0,1,1,1
12733841,2014-03-02,"Paris, Ile-de-France, France",0,1,1,1
31350186,2015-04-16,"Paris, Ile-de-France, France",1,1,1,1
224162255,2018-11-04,"Paris, Ile-de-France, France",0,1,1,1
16737249,2014-06-13,"Paris, Ile-de-France, France",0,1,1,1
7626356,2013-07-21,"Paris, Ile-de-France, France",0,1,1,1
2103570,2012-04-09,"Paris, Ile-de-France, France",0,1,1,1
47115887,2015-10-21,"Paris, Ile-de-France, France",0,1,1,1
43675748,2015-09-08,"Paris, Ile-de-France, France",0,1,1,1
132844648,2017-05-31,"Paris, Ile-de-France, France",0,1,1,1
254853853,2019-04-11,"Paris, Ile-de-France, France",0,1,1,1
254573117,2019-04-10,"Paris, Ile-de-France, France",1,1,1,1
10711736,2013-12-19,"Paris, Ile-de-France, France",0,1,1,1
5004944,2013-02-07,"Paris, Ile-de-France, France",0,1,1,1
15553502,2014-05-15,"Paris, Ile-de-France, France",0,1,1,1
86275023,2016-07-27,"Paris, Ile-de-France, France",0,1,1,1
42053643,2015-08-20,"Paris, Ile-de-France, France",0,1,1,1
7392552,2013-07-10,"Paris, Ile-de-France, France",0,1,1,1
12319057,2014-02-17,"Paris, Ile-de-France, France",0,1,1,1
6829465,2013-06-10,"Paris, Ile-de-France, France",0,1,1,1
37167959,2015-06-30,"Paris, Ile-de-France, France",0,1,1,1
244929282,2019-02-23,"Paris, Ile-de-France, France",0,1,1,0
7947103,2013-08-05,"Paris, Ile-de-France, France",0,1,1,1
5328872,2013-03-05,"Paris, Ile-de-France, France",1,1,1,1
119401174,2017-03-06,"Paris, Ile-de-France, France",1,1,1,1
7418211,2013-07-11,"Paris, Ile-de-France, France",1,1,1,1
48075329,2015-11-03,"Paris, Ile-de-France, France",1,1,1,1
34168234,2015-05-25,"Paris, Ile-de-France, France",1,1,1,1
88110360,2016-08-05,"Paris, Ile-de-France, France",1,1,1,0
11221462,2014-01-12,"Paris, Ile-de-France, France",1,1,1,1
1830036,2012-02-29,"Paris, Ile-de-France, France",1,1,1,1
4813722,2013-01-23,"Paris, Ile-de-France, France",1,1,1,1
7628370,2013-07-21,"Paris, Ile-de-France, France",0,1,1,0
9659668,2013-10-27,"Paris, Ile-de-France, France",0,1,1,0
1481415,2011-12-07,"Paris, Ile-de-France, France",0,1,1,0
17396074,2014-06-29,"Paris, Ile-de-France, France",0,1,1,0
24411952,2014-12-02,"Paris, Ile-de-France, France",0,1,1,0
31461718,2015-04-18,"Paris, Ile-de-France, France",0,1,1,0
33568537,2015-05-17,"Paris, Ile-de-France, France",0,1,1,0
33907684,2015-05-21,"Paris, Ile-de-France, France",0,1,1,0
