neighbourhood,city,latitude,longitude,location_id
Passy,Paris,48.86874,2.28039,193
Buttes-Montmartre,Paris,48.88352,2.34135,194
Popincourt,Paris,48.8669,2.37911,195
Pantheon,Paris,48.84582,2.35527,196
Menilmontant,Paris,48.86714,2.38349,197
Louvre,Paris,48.8646,2.33088,198
Batignolles-Monceau,Paris,48.88936,2.31819,199
Louvre,Paris,48.86147,2.34886,200
Opera,Paris,48.87919,2.34237,201
Batignolles-Monceau,Paris,48.88679,2.30986,202
Popincourt,Paris,48.86523,2.36985,203
Gobelins,Paris,48.82518,2.36323,204
Popincourt,Paris,48.86202,2.37049,205
Palais-Bourbon,Paris,48.85006,2.31887,206
Opera,Paris,48.88089,2.33488,207
Buttes-Montmartre,Paris,48.88563,2.34974,208
Buttes-Chaumont,Paris,48.88461,2.39503,209
Luxembourg,Paris,48.85136,2.33537,210
Popincourt,Paris,48.8505,2.39279,211
Luxembourg,Paris,48.85456,2.34018,212
Batignolles-Monceau,Paris,48.8884,2.32249,213
Reuilly,Paris,48.83565,2.39533,214
Enclos-St-Laurent,Paris,48.87446,2.35456,215
Luxembourg,Paris,48.84436,2.32953,216
Hotel-de-Ville,Paris,48.8562,2.36361,217
Buttes-Chaumont,Paris,48.87771,2.39035,218
Pantheon,Paris,48.84457,2.34642,219
Luxembourg,Paris,48.85348,2.33151,220
Buttes-Montmartre,Paris,48.89233,2.34235,221
Buttes-Chaumont,Paris,48.8755,2.39255,222
Buttes-Montmartre,Paris,48.88446,2.34236,223
Palais-Bourbon,Paris,48.85787,2.32809,224
Buttes-Montmartre,Paris,48.88446,2.34398,225
Batignolles-Monceau,Paris,48.89211,2.32191,226
Opera,Paris,48.8805,2.34085,227
Buttes-Montmartre,Paris,48.89284,2.34374,228
Batignolles-Monceau,Paris,48.89307,2.31818,229
Menilmontant,Paris,48.87257,2.38802,230
Menilmontant,Paris,48.87029,2.39676,231
Vaugirard,Paris,48.84082,2.29651,232
Enclos-St-Laurent,Paris,48.87643,2.3707,233
Buttes-Montmartre,Paris,48.88792,2.35324,234
Enclos-St-Laurent,Paris,48.8704,2.36834,235
Buttes-Montmartre,Paris,48.89454,2.34527,236
Enclos-St-Laurent,Paris,48.8744,2.36145,237
Temple,Paris,48.86324,2.3557,238
Buttes-Chaumont,Paris,48.87765,2.38411,239
Batignolles-Monceau,Paris,48.88578,2.32523,240
Popincourt,Paris,48.85716,2.38565,241
Buttes-Montmartre,Paris,48.8908,2.33034,242
Observatoire,Paris,48.83232,2.31713,243
Buttes-Montmartre,Paris,48.88262,2.33719,244
Reuilly,Paris,48.8436,2.38135,245
Vaugirard,Paris,48.84408,2.29337,246
Buttes-Montmartre,Paris,48.88353,2.34182,247
Buttes-Montmartre,Paris,48.88729,2.34984,248
Pantheon,Paris,48.84296,2.3545,249
Pantheon,Paris,48.83914,2.35063,250
Buttes-Montmartre,Paris,48.89485,2.34401,251
Enclos-St-Laurent,Paris,48.88183,2.35205,252
Popincourt,Paris,48.86597,2.36979,253
Luxembourg,Paris,48.84684,2.31798,254
Enclos-St-Laurent,Paris,48.87957,2.3617,255
Buttes-Chaumont,Paris,48.87806,2.37584,256
Temple,Paris,48.86523,2.35901,257
Buttes-Montmartre,Paris,48.88832,2.33802,258
Reuilly,Paris,48.84055,2.3984,259
Bourse,Paris,48.86953,2.33625,260
Elysee,Paris,48.87611,2.3241,261
Temple,Paris,48.86189,2.35258,262
Buttes-Montmartre,Paris,48.88784,2.35482,263
Vaugirard,Paris,48.84154,2.30698,264
Batignolles-Monceau,Paris,48.88949,2.32035,265
Popincourt,Paris,48.8563,2.37642,266
Buttes-Montmartre,Paris,48.89037,2.34181,267
Batignolles-Monceau,Paris,48.89339,2.3214,268
Buttes-Montmartre,Paris,48.89164,2.344,269
Reuilly,Paris,48.85186,2.37234,270
Reuilly,Paris,48.84575,2.40717,271
Opera,Paris,48.87911,2.34631,272
Reuilly,Paris,48.84036,2.39407,273
Buttes-Chaumont,Paris,48.89213,2.37699,274
Popincourt,Paris,48.86537,2.38261,275
Pantheon,Paris,48.83796,2.35357,276
Vaugirard,Paris,48.84682,2.31114,277
Buttes-Montmartre,Paris,48.89143,2.33552,278
Menilmontant,Paris,48.86783,2.38898,279
Hotel-de-Ville,Paris,48.85623,2.35296,280
Opera,Paris,48.88193,2.34712,281
Popincourt,Paris,48.85151,2.38238,282
Gobelins,Paris,48.82517,2.34292,283
Buttes-Montmartre,Paris,48.89026,2.33018,284
Observatoire,Paris,48.83073,2.31506,285
Bourse,Paris,48.86937,2.34398,286
Hotel-de-Ville,Paris,48.85263,2.362,287
Enclos-St-Laurent,Paris,48.88071,2.36486,288
Popincourt,Paris,48.86159,2.37421,289
Buttes-Chaumont,Paris,48.88889,2.38488,290
Popincourt,Paris,48.86341,2.37626,291
Popincourt,Paris,48.85799,2.37302,292
Palais-Bourbon,Paris,48.85842,2.30136,293
Luxembourg,Paris,48.84504,2.32236,294
Pantheon,Paris,48.84175,2.36168,295
Opera,Paris,48.87763,2.34372,296
Temple,Paris,48.86266,2.36399,297
Popincourt,Paris,48.85956,2.38122,298
Buttes-Montmartre,Paris,48.88771,2.34576,299
Buttes-Montmartre,Paris,48.88873,2.35624,300
Observatoire,Paris,48.83805,2.3302,301
Popincourt,Paris,48.85973,2.3773,302
Popincourt,Paris,48.86751,2.37701,303
Reuilly,Paris,48.85079,2.37671,304
Popincourt,Paris,48.85817,2.38425,305
Buttes-Chaumont,Paris,48.8827,2.37285,306
Batignolles-Monceau,Paris,48.88388,2.29185,307
Vaugirard,Paris,48.84356,2.28261,308
Opera,Paris,48.87928,2.33791,309
Buttes-Montmartre,Paris,48.88896,2.32739,310
Popincourt,Paris,48.85109,2.38547,311
Popincourt,Paris,48.85656,2.37813,312
Batignolles-Monceau,Paris,48.87739,2.29594,313
Buttes-Montmartre,Paris,48.88621,2.33784,314
Temple,Paris,48.86443,2.35811,315
Hotel-de-Ville,Paris,48.84881,2.36532,316
Opera,Paris,48.88341,2.34764,317
Batignolles-Monceau,Paris,48.8857,2.3107,318
Observatoire,Paris,48.8293,2.335,319
Luxembourg,Paris,48.84496,2.33161,320
Menilmontant,Paris,48.87069,2.38027,321
Vaugirard,Paris,48.85118,2.29318,322
Passy,Paris,48.84056,2.26127,323
Batignolles-Monceau,Paris,48.89273,2.32559,324
Buttes-Montmartre,Paris,48.88804,2.33514,325
Vaugirard,Paris,48.84034,2.28692,326
Louvre,Paris,48.86558,2.33578,327
Buttes-Chaumont,Paris,48.88621,2.38953,328
Buttes-Montmartre,Paris,48.89155,2.34067,329
Popincourt,Paris,48.8695,2.37343,330
Vaugirard,Paris,48.84301,2.3182,331
Buttes-Montmartre,Paris,48.88719,2.34429,332
Popincourt,Paris,48.8619,2.38191,333
Palais-Bourbon,Paris,48.85522,2.3025,334
Popincourt,Paris,48.84945,2.38897,335
Buttes-Chaumont,Paris,48.89181,2.37769,336
Temple,Paris,48.86014,2.36147,337
Popincourt,Paris,48.85345,2.39136,338
Reuilly,Paris,48.84949,2.38278,339
Enclos-St-Laurent,Paris,48.87112,2.36309,340
Popincourt,Paris,48.85979,2.38271,341
Menilmontant,Paris,48.85739,2.39746,342
Temple,Paris,48.86201,2.36304,343
Opera,Paris,48.87456,2.34747,344
Buttes-Montmartre,Paris,48.88494,2.34196,345
Bourse,Paris,48.86461,2.34827,346
Palais-Bourbon,Paris,48.85901,2.32989,347
Opera,Paris,48.87477,2.34779,348
Passy,Paris,48.84258,2.26424,349
Passy,Paris,48.85216,2.27434,350
Popincourt,Paris,48.86007,2.38162,351
Buttes-Chaumont,Paris,48.87615,2.38126,352
Buttes-Chaumont,Paris,48.89431,2.38307,353
Buttes-Chaumont,Paris,48.87585,2.37561,354
Menilmontant,Paris,48.86305,2.40282,355
Batignolles-Monceau,Paris,48.87873,2.28654,356
Popincourt,Paris,48.85349,2.37777,357
Buttes-Montmartre,Paris,48.88879,2.34828,358
Passy,Paris,48.86441,2.28352,359
Buttes-Montmartre,Paris,48.8909,2.3438,360
Vaugirard,Paris,48.84791,2.28588,361
Buttes-Montmartre,Paris,48.89074,2.34503,362
Enclos-St-Laurent,Paris,48.87273,2.36518,363
Buttes-Montmartre,Paris,48.89088,2.33671,364
Buttes-Chaumont,Paris,48.88271,2.37365,365
Temple,Paris,48.86131,2.3622,366
Menilmontant,Paris,48.85269,2.40505,367
Buttes-Montmartre,Paris,48.88972,2.33518,368
Pantheon,Paris,48.84453,2.34651,369
Luxembourg,Paris,48.85641,2.34036,370
Enclos-St-Laurent,Paris,48.8705,2.35697,371
Menilmontant,Paris,48.86756,2.40265,372
Buttes-Chaumont,Paris,48.87757,2.38553,373
Popincourt,Paris,48.85161,2.3903,374
Pantheon,Paris,48.84725,2.3469,375
Pantheon,Paris,48.8419,2.35375,376
Popincourt,Paris,48.85541,2.37158,377
Hotel-de-Ville,Paris,48.85995,2.3499,378
Menilmontant,Paris,48.87313,2.38754,379
Batignolles-Monceau,Paris,48.88767,2.32233,380
Temple,Paris,48.86354,2.35856,381
Popincourt,Paris,48.85304,2.37415,382
Temple,Paris,48.8636,2.35585,383
Opera,Paris,48.87831,2.34103,384
Temple,Paris,48.86099,2.36075,385
Popincourt,Paris,48.86609,2.37386,386
Passy,Paris,48.86098,2.28554,387
Buttes-Montmartre,Paris,48.88656,2.33517,388
Pantheon,Paris,48.84062,2.35666,389
Batignolles-Monceau,Paris,48.88447,2.31549,390
Pantheon,Paris,48.84712,2.34201,391
Luxembourg,Paris,48.85121,2.33388,392
Popincourt,Paris,48.85114,2.38568,393
Vaugirard,Paris,48.83648,2.29537,394
Opera,Paris,48.8795,2.32785,395
Bourse,Paris,48.86667,2.35009,396
Opera,Paris,48.88089,2.33919,397
Passy,Paris,48.86716,2.28914,398
Buttes-Montmartre,Paris,48.88983,2.33972,399
Reuilly,Paris,48.84943,2.38022,400
Enclos-St-Laurent,Paris,48.87151,2.36303,401
Temple,Paris,48.86134,2.36144,402
Reuilly,Paris,48.84686,2.39673,403
Vaugirard,Paris,48.8497,2.29613,404
Passy,Paris,48.87337,2.28632,405
Luxembourg,Paris,48.8502,2.33612,406
Popincourt,Paris,48.85397,2.39379,407
Popincourt,Paris,48.85006,2.39433,408
Vaugirard,Paris,48.84342,2.28863,409
Buttes-Chaumont,Paris,48.88516,2.38294,410
Enclos-St-Laurent,Paris,48.87155,2.36818,411
Hotel-de-Ville,Paris,48.85225,2.36294,412
Vaugirard,Paris,48.84207,2.31793,413
Opera,Paris,48.87976,2.34877,414
Enclos-St-Laurent,Paris,48.87131,2.36731,415
Popincourt,Paris,48.86825,2.37511,416
Buttes-Montmartre,Paris,48.89108,2.32699,417
Popincourt,Paris,48.85777,2.37391,418
Passy,Paris,48.84231,2.26873,419
Enclos-St-Laurent,Paris,48.87663,2.35517,420
Buttes-Montmartre,Paris,48.88599,2.3604,421
Buttes-Chaumont,Paris,48.87776,2.37781,422
Popincourt,Paris,48.8578,2.37079,423
Temple,Paris,48.86234,2.35402,424
Menilmontant,Paris,48.86462,2.39414,425
